"","WORKSITE_CITY","dependent","city","index11","index21","index22","index23","index31","index42","index44","index48","index51","index52","index53","index54","index55","index56","index61","index62","index71","index72","index81","index92","rank","population","lat","lon"
"14","INDIANAPOLIS","N","Indianapolis",0,0,68992,80454,90160,62857.5,79929.6,47000,75000,69042.5,45865,71319,85676,74672,48000,167500,77000,37000,45939.5,65000,14,853173,39.76691,-86.149964
"15","COLUMBUS","N","Columbus",88745,250000,66179,75000,70762,66513,89261.5,88433.53,87500,85000,46488,67275,96000,50000,55000,106662,0,38000,85498,55500,15,850106,39.96196,-83.002984
"16","FORT WORTH","N","Fort Worth",0,1e+05,0,57928,74908,94876,1e+05,72316,83948,87600,73500,74400,88000,1e+05,52600,187199,0,103000.08,58531,0,16,833319,32.748855,-97.329389
"17","CHARLOTTE","N","Charlotte",0,0,74881.5,57789.065,90600,96000,104500,68661,77168,1e+05,63669,76200,96616,99746.5,70000,161145.5,110000,93000,87375,0,17,827097,35.22269,-80.837764
"18","SEATTLE","N","Seattle",250000,0,0,63572,1e+05,84984,116200,86000,107015,88700,88269.5,87000,0,106101,57660,70000,115500,70000,131123,126587.23,18,684451,47.60356,-122.329439
"19","DENVER","N","Denver",0,95000,75360,61427.5,88920,66572,87720,53872,87214,86133,55825,79700,73516.5,76002.5,39850.61,65000,47528,75608,37200,86927,19,682545,39.74001,-104.992259
"20","EL PASO","N","El Paso",0,55500,0,65000,56243,60000,67000,61000,93500,106899,29338.5,67606.5,0,0,52041.5,2e+05,0,60496,0,306016,20,681124,31.759165,-106.487494
"21","DETROIT","N","Detroit",0,0,120000,68411,87004,0,98450,0,67800,82000,60341,70000,0,87220,60000,54837.5,0,1e+05,32614,67376,21,677116,42.331685,-83.047924
"22","WASHINGTON","N","Washington",0,0,101850,67000,84391,90000,60264,90757.85,75000,91552,54450,76000,112550,73500,57523,70000,63722,55474,70242,135000,22,672228,38.89037,-77.031959
"23","BOSTON","N","Boston",58077,0,70609.5,57907,91000,65000,74701,154364,90000,93517,83900,80000,86700,74725,60000,60180,45000,55000,57165,56781.67,23,667137,42.358635,-71.056699
"24","MEMPHIS","N","Memphis",0,0,90967.5,0,74168.1,72097.08,68000,61000,70000,68486,0,67413,0,69472,48500,63886,0,115000,0,72171,24,655770,35.149766,-90.049259
"25","PORTLAND","N","Portland",0,0,105000,68000,85560.08,75000,110000,90000,78000,89500,110573,74443,102627,0,56000,125000,136469,38771,99609,38771,26,632309,45.511795,-122.675629
"26","OKLAHOMA CITY","N","Oklahoma City",0,109850,69056,49400,64798.5,70283,49535,47570,70512,152562.5,77160,67300,75000,0,50535,130062.5,21975.9,29453,86000,206667.5,27,631346,35.472015,-97.520354
"27","LAS VEGAS","N","Las Vegas",0,69000,82638,96928,90000,51000,88400,73000,80330,79997,92500,71050.06,180000,94267.035,52818,198000,107000,75460,45348,0,28,623747,36.171915,-115.139974
"28","BALTIMORE","N","Baltimore",0,0,87500,63006.25,68000,90000,114669,39000,79040,75805.5,62500.1,74000,0,69555,64501,101067,50000,42758.5,50200,72571,29,621849,39.290585,-76.609264
"29","MILWAUKEE","N","Milwaukee",0,0,68000,0,82534,80000,104500,1292.3,46500,86250,101500,74825,85000,85426,66424.5,169000,35100,0,90000,0,31,600155,43.04181,-87.906844
"30","ALBUQUERQUE","N","Albuquerque",0,0,42500,70000,82700,83866,0,0,72500,52800.5,36000,65000,0,98782,79050,215000,0,37658,0,0,32,559121,35.08418,-106.648639
"31","TUCSON","N","Tucson",0,72550,0,0,85249.98,57505.5,128315.2,0,55000,60000,0,68675,0,65000,39641.5,175000,0,28646,70000,75000,33,531641,32.221553,-110.969754
"32","FRESNO","N","Fresno",0,0,78000,95001.92,68000,51792,0,63596.2,39000,108474,0,66072.8,0,51418,67002,220000,0,117229,138160,63185,34,520052,36.740685,-119.785734
"33","SACRAMENTO","N","Sacramento",0,0,103730,85500,79241,150000,76482,95410,73241,90106,0,75000,0,78476.11,58000,147493,0,93621,102084,40150.5,35,490712,38.579065,-121.491014
"34","KANSAS CITY","N","Kansas City",0,0,0,62000,58677,45000,38771,39885,80674.5,94245,0,73429,0,50898,55805,180000,38771,47500,76378,42194,36,475378,39.11338,-94.626824
"35","LONG BEACH","N","Long Beach",0,127500,0,105000,111280,60000,64417.5,122089,65755.1,92476.02,45000,71510,40747,116303,80000,110613,65000,0,61235,0,37,474140,33.766725,-118.192399
"36","MESA","N","Mesa",0,0,0,0,89647.28,113000,0,0,79217.2,92000,0,70000,0,0,51481,194000,0,0,0,0,38,471825,33.417045,-111.831459
"37","ATLANTA","N","Atlanta",60320,0,72290.5,61495,83678,92400,1e+05,65000,97718,87000,51813,78181,123500,93371,58000,85000,62500,60700,73242.51,75000,39,463878,33.748315,-84.391109
"38","COLORADO SPRINGS","N","Colorado Springs",0,0,0,0,93237.5,44138,0,126800,86151.5,77137,0,83000,0,0,61000,136698,0,0,108200,0,40,456568,38.83345,-104.821814
"39","VIRGINIA BEACH","N","Virginia Beach",0,0,0,55848,62691,1e+05,52800,108000,67526.375,80300,0,73449,0,0,55892,126131,31200,50000,65000,0,41,452745,36.75502,-76.059204
"40","RALEIGH","N","Raleigh",34000,0,93875,60000,85000.24,79749,95000,0,86837,92500,55362,72000,1e+05,90000,50115,89750.04,0,65000,18346,55000,42,451066,35.78551,-78.642669
"41","OMAHA","N","Omaha",0,0,73644,101400,96000,50731,79950.5,93462,68349,85000,0,68349,65000,106500,55320,170000,50000,0,57000,85500,43,443885,41.260675,-95.940469
"42","MIAMI","N","Miami",50282.5,97469,80350,65000,66509.5,70000,88000,70616,76500,77250,58450,64000,122500,56028,57148.43,77417.6,60000,82430,59151,74500,44,441003,25.728985,-80.237419
"43","OAKLAND","N","Oakland",0,0,115000,85500,80000,64020,70096,111601.5,119100,101000,110157,81647,0,80592,72500,85301,63000,55000,64538.1,75780.8,45,419267,37.805065,-122.273024
"44","MINNEAPOLIS","N","Minneapolis",0,0,0,74255,86900,74661,97885,104295,89175,86800,55100,74984,1e+05,70000,52382,2e+05,37024,51100,72000,61000,46,410939,44.979035,-93.264929
"45","TULSA","N","Tulsa",0,94999.95,70000,57990,68644.27,88560,98000,64298,58380,96216.75,0,69621.5,0,54243,40696,43000,41850,49500,0,78000,47,403505,36.149745,-95.993334
"46","WICHITA","N","Wichita",0,0,0,53082,75000,90000,0,70000,58078.5,70000,52337.5,67018.5,0,83000,54539.5,194500,0,0,0,0,48,389965,37.68698,-97.335579
"47","NEW ORLEANS","N","New Orleans",0,130250,71365,46821,60593,58656,0,45000,50939,75000,0,65000,0,0,60550,62691,39200,28891,50065.5,55000,49,389617,29.9564,-90.0758
"48","ARLINGTON","N","Arlington",0,0,83033.5,67000,79250,71623,103688,0,83200,99722.5,57737,81000,80000,0,51239,95000,0,43514,95000,71867,50,388125,38.89051,-77.086294
