"","COUNTRY_OF_CITIZENSHIP","state","value"
"1","Canada","Alabama",20
"2","China","Alabama",94
"3","France","Alabama",2
"4","India","Alabama",72
"5","Mexico","Alabama",20
"6","Pakistan","Alabama",8
"7","Philippines","Alabama",8
"8","South Korea","Alabama",384
"9","Taiwan","Alabama",5
"10","UK","Alabama",3
"11","Canada","Alaska",4
"12","China","Alaska",1
"13","France","Alaska",0
"14","India","Alaska",9
"15","Mexico","Alaska",1
"16","Pakistan","Alaska",0
"17","Philippines","Alaska",3
"18","South Korea","Alaska",5
"19","Taiwan","Alaska",0
"20","UK","Alaska",0
"21","Canada","Arizona",32
"22","China","Arizona",62
"23","France","Arizona",6
"24","India","Arizona",543
"25","Mexico","Arizona",32
"26","Pakistan","Arizona",5
"27","Philippines","Arizona",85
"28","South Korea","Arizona",29
"29","Taiwan","Arizona",8
"30","UK","Arizona",14
"31","Canada","Arkansas",6
"32","China","Arkansas",13
"33","France","Arkansas",1
"34","India","Arkansas",78
"35","Mexico","Arkansas",30
"36","Pakistan","Arkansas",4
"37","Philippines","Arkansas",5
"38","South Korea","Arkansas",4
"39","Taiwan","Arkansas",2
"40","UK","Arkansas",1
"41","Canada","California",953
"42","China","California",2549
"43","France","California",260
"44","India","California",10472
"45","Mexico","California",369
"46","Pakistan","California",97
"47","Philippines","California",483
"48","South Korea","California",1831
"49","Taiwan","California",537
"50","UK","California",297
"51","Canada","Colorado",48
"52","China","Colorado",58
"53","France","Colorado",5
"54","India","Colorado",373
"55","Mexico","Colorado",24
"56","Pakistan","Colorado",8
"57","Philippines","Colorado",24
"58","South Korea","Colorado",23
"59","Taiwan","Colorado",3
"60","UK","Colorado",18
"61","Canada","Connecticut",39
"62","China","Connecticut",61
"63","France","Connecticut",11
"64","India","Connecticut",410
"65","Mexico","Connecticut",17
"66","Pakistan","Connecticut",7
"67","Philippines","Connecticut",8
"68","South Korea","Connecticut",32
"69","Taiwan","Connecticut",5
"70","UK","Connecticut",23
"71","Canada","Delaware",5
"72","China","Delaware",36
"73","France","Delaware",0
"74","India","Delaware",249
"75","Mexico","Delaware",4
"76","Pakistan","Delaware",4
"77","Philippines","Delaware",1
"78","South Korea","Delaware",6
"79","Taiwan","Delaware",2
"80","UK","Delaware",3
"81","Canada","Florida",108
"82","China","Florida",83
"83","France","Florida",35
"84","India","Florida",920
"85","Mexico","Florida",58
"86","Pakistan","Florida",25
"87","Philippines","Florida",76
"88","South Korea","Florida",42
"89","Taiwan","Florida",11
"90","UK","Florida",68
"91","Canada","Georgia",58
"92","China","Georgia",200
"93","France","Georgia",10
"94","India","Georgia",1296
"95","Mexico","Georgia",41
"96","Pakistan","Georgia",37
"97","Philippines","Georgia",32
"98","South Korea","Georgia",472
"99","Taiwan","Georgia",7
"100","UK","Georgia",21
"101","Canada","Hawaii",5
"102","China","Hawaii",14
"103","France","Hawaii",2
"104","India","Hawaii",7
"105","Mexico","Hawaii",2
"106","Pakistan","Hawaii",0
"107","Philippines","Hawaii",2
"108","South Korea","Hawaii",15
"109","Taiwan","Hawaii",0
"110","UK","Hawaii",1
"111","Canada","Idaho",4
"112","China","Idaho",18
"113","France","Idaho",3
"114","India","Idaho",30
"115","Mexico","Idaho",1
"116","Pakistan","Idaho",3
"117","Philippines","Idaho",8
"118","South Korea","Idaho",5
"119","Taiwan","Idaho",1
"120","UK","Idaho",2
"121","Canada","Illinois",96
"122","China","Illinois",249
"123","France","Illinois",22
"124","India","Illinois",2303
"125","Mexico","Illinois",45
"126","Pakistan","Illinois",34
"127","Philippines","Illinois",70
"128","South Korea","Illinois",215
"129","Taiwan","Illinois",21
"130","UK","Illinois",46
"131","Canada","Indiana",24
"132","China","Indiana",49
"133","France","Indiana",1
"134","India","Indiana",285
"135","Mexico","Indiana",15
"136","Pakistan","Indiana",7
"137","Philippines","Indiana",11
"138","South Korea","Indiana",10
"139","Taiwan","Indiana",7
"140","UK","Indiana",6
"141","Canada","Iowa",15
"142","China","Iowa",20
"143","France","Iowa",3
"144","India","Iowa",182
"145","Mexico","Iowa",6
"146","Pakistan","Iowa",4
"147","Philippines","Iowa",9
"148","South Korea","Iowa",8
"149","Taiwan","Iowa",1
"150","UK","Iowa",3
"151","Canada","Kansas",20
"152","China","Kansas",10
"153","France","Kansas",0
"154","India","Kansas",190
"155","Mexico","Kansas",7
"156","Pakistan","Kansas",1
"157","Philippines","Kansas",24
"158","South Korea","Kansas",12
"159","Taiwan","Kansas",3
"160","UK","Kansas",7
"161","Canada","Kentucky",11
"162","China","Kentucky",11
"163","France","Kentucky",2
"164","India","Kentucky",222
"165","Mexico","Kentucky",8
"166","Pakistan","Kentucky",9
"167","Philippines","Kentucky",17
"168","South Korea","Kentucky",15
"169","Taiwan","Kentucky",1
"170","UK","Kentucky",6
"171","Canada","Louisiana",12
"172","China","Louisiana",26
"173","France","Louisiana",8
"174","India","Louisiana",135
"175","Mexico","Louisiana",27
"176","Pakistan","Louisiana",1
"177","Philippines","Louisiana",17
"178","South Korea","Louisiana",5
"179","Taiwan","Louisiana",4
"180","UK","Louisiana",2
"181","Canada","Maine",9
"182","China","Maine",4
"183","France","Maine",0
