"","WORKSITE_CITY","dependent","city","index11","index21","index22","index23","index31","index42","index44","index48","index51","index52","index53","index54","index55","index56","index61","index62","index71","index72","index81","index92","rank","population","lat","lon"
"1","NEW YORK","Y","New York",0,0,0,0,0,0,108500,0,130900,130000,27435,74714,0,47819,41900,66539,0,45906,117850,0,1,8550405,40.71455,-74.007124
"2","LOS ANGELES","Y","Los Angeles",0,0,0,0,0,0,0,0,54200,0,0,75000,0,45802,0,60278,0,0,0,0,2,3971883,34.05349,-118.245319
"3","CHICAGO","Y","Chicago",0,0,78749,0,0,0,0,0,80000,120000,0,68931,0,65000,61000,43742,38106,0,0,0,3,2720546,41.88415,-87.632409
"4","HOUSTON","Y","Houston",0,0,0,92500,0,64100,0,0,74859,48000,0,67184,0,81309,0,120000,0,0,0,34138.22,4,2296224,29.76045,-95.369784
"5","PHILADELPHIA","Y","Philadelphia",0,0,0,0,0,76315,0,0,60000,0,0,72000,0,75000,0,0,0,0,0,0,5,1567442,39.95228,-75.162454
"6","PHOENIX","Y","Phoenix",0,0,0,0,0,0,0,0,74422,0,0,70965,0,89500,61000,0,0,0,0,0,6,1563025,33.44826,-112.075774
"7","SAN ANTONIO","Y","San Antonio",0,0,0,0,0,0,0,0,85000,0,0,67000,0,82350,0,0,0,0,0,0,7,1469845,29.42449,-98.494619
"8","SAN DIEGO","Y","San Diego",0,0,0,0,99861,0,0,0,88884,0,0,76200,0,0,0,0,0,0,0,0,8,1394928,32.715695,-117.161719
"9","DALLAS","Y","Dallas",0,0,0,0,0,0,0,0,73382.5,0,0,65500,0,71614,0,120000,0,0,41669,0,9,1300092,32.778155,-96.795404
"10","SAN JOSE","Y","San Jose",0,0,0,0,104666,0,0,0,1e+05,62000,0,90000,0,68500,0,65874,0,0,0,0,10,1026908,37.338475,-121.885794
"11","AUSTIN","Y","Austin",0,0,0,0,98862,0,0,0,88902.02,130000,0,68578,0,70647,71552,60000,0,0,0,0,11,931830,30.267605,-97.742984
"12","JACKSONVILLE","Y","Jacksonville",0,0,0,0,0,0,0,0,85000,0,0,66900,0,67500,0,76312.08,0,0,0,0,12,868031,30.33147,-81.656219
"13","SAN FRANCISCO","Y","San Francisco",0,0,0,0,105456,75000,0,0,102357,125000,0,85634,0,80461,54865,0,0,0,0,0,13,864816,37.777125,-122.419644
"14","INDIANAPOLIS","Y","Indianapolis",0,0,0,0,0,0,0,0,77900,0,0,62000,0,60000,0,61568,0,0,0,0,14,853173,39.76691,-86.149964
"15","COLUMBUS","Y","Columbus",0,0,0,0,82100,0,0,0,74110,0,0,67371,0,64459,0,65000,0,0,0,0,15,850106,39.96196,-83.002984
"16","FORT WORTH","Y","Fort Worth",0,0,0,0,0,0,0,0,92549.5,0,0,73673,0,83159,0,156000,0,0,0,0,16,833319,32.748855,-97.329389
"17","CHARLOTTE","Y","Charlotte",0,0,0,0,0,0,0,0,111000,0,0,70239,0,76500,94500,0,0,0,0,0,17,827097,35.22269,-80.837764
"18","SEATTLE","Y","Seattle",0,0,0,0,122233,0,106000,0,150000,0,0,83000,0,56274.5,52320,0,0,0,0,0,18,684451,47.60356,-122.329439
"19","DENVER","Y","Denver",0,0,0,0,0,0,0,0,75379,0,0,75000,0,72000,0,0,0,0,0,0,19,682545,39.74001,-104.992259
"20","EL PASO","Y","El Paso",0,0,0,0,0,0,0,0,0,0,0,60000,0,0,0,0,0,47778,0,0,20,681124,31.759165,-106.487494
"21","DETROIT","Y","Detroit",0,0,0,0,0,0,0,0,115000,0,0,70000,0,74041.5,0,63877,0,0,0,0,21,677116,42.331685,-83.047924
"22","WASHINGTON","Y","Washington",0,0,0,0,60000,0,0,0,90000,0,0,75000,0,79000,0,0,0,0,88192,0,22,672228,38.89037,-77.031959
"23","BOSTON","Y","Boston",0,0,0,0,0,0,0,0,74796.5,0,0,74100,0,60000,0,44512,0,0,0,0,23,667137,42.358635,-71.056699
"24","MEMPHIS","Y","Memphis",0,0,0,0,0,0,0,0,0,0,0,67413,0,65000,0,0,0,0,0,0,24,655770,35.149766,-90.049259
"25","PORTLAND","Y","Portland",0,0,0,0,0,0,0,0,0,0,0,71802,0,75000,0,0,0,0,0,0,26,632309,45.511795,-122.675629
"26","OKLAHOMA CITY","Y","Oklahoma City",0,0,0,0,0,0,0,49000,0,0,0,67373,0,0,0,0,0,0,0,0,27,631346,35.472015,-97.520354
"27","LAS VEGAS","Y","Las Vegas",0,0,0,0,0,0,0,0,64000,0,0,66000,0,0,0,0,0,0,0,0,28,623747,36.171915,-115.139974
"28","BALTIMORE","Y","Baltimore",0,0,0,0,0,0,0,0,0,0,0,75000,0,0,0,0,0,0,0,0,29,621849,39.290585,-76.609264
"29","MILWAUKEE","Y","Milwaukee",0,0,0,0,0,0,0,0,0,0,0,68858.5,0,50018,0,0,0,0,0,0,31,600155,43.04181,-87.906844
"30","ALBUQUERQUE","Y","Albuquerque",0,0,0,0,0,0,0,0,0,0,0,68631.5,0,60000,0,0,0,0,0,0,32,559121,35.08418,-106.648639
"31","TUCSON","Y","Tucson",0,0,0,0,0,0,0,0,0,0,0,67350,0,0,53872,0,0,0,0,0,33,531641,32.221553,-110.969754
"32","FRESNO","Y","Fresno",0,0,0,0,0,0,0,0,0,0,0,69750,0,0,0,220000,0,0,0,0,34,520052,36.740685,-119.785734
"33","SACRAMENTO","Y","Sacramento",0,0,0,0,0,0,0,0,60000,0,0,70000,0,0,0,0,0,0,0,0,35,490712,38.579065,-121.491014
"34","KANSAS CITY","Y","Kansas City",0,0,0,0,0,0,0,0,0,0,0,67735,0,49000,0,0,0,0,0,0,36,475378,39.11338,-94.626824
"35","LONG BEACH","Y","Long Beach",0,0,0,0,0,0,0,0,0,0,0,75438,0,60000,0,0,0,0,0,0,37,474140,33.766725,-118.192399
"36","MESA","Y","Mesa",0,0,0,0,0,0,0,0,0,0,0,76000,0,0,0,0,0,0,0,0,38,471825,33.417045,-111.831459
"37","ATLANTA","Y","Atlanta",0,0,0,76000,91992,0,8,0,91000,0,0,72000,0,65000,41110,0,0,0,0,0,39,463878,33.748315,-84.391109
"38","COLORADO SPRINGS","Y","Colorado Springs",0,0,0,0,0,0,0,0,0,0,0,75552,0,0,0,0,0,0,0,0,40,456568,38.83345,-104.821814
"39","VIRGINIA BEACH","Y","Virginia Beach",0,0,0,0,0,0,0,0,0,0,0,80600,0,62000,0,0,0,0,0,0,41,452745,36.75502,-76.059204
"40","RALEIGH","Y","Raleigh",0,0,0,0,88800,0,0,0,58632.72,0,0,70000,0,99000,0,65978,0,0,0,0,42,451066,35.78551,-78.642669
"41","OMAHA","Y","Omaha",0,0,0,0,0,0,0,0,74353.5,0,0,70699,0,0,0,0,0,0,0,0,43,443885,41.260675,-95.940469
"42","MIAMI","Y","Miami",0,0,0,0,0,0,0,0,76253,0,0,67040,0,57450,114790,0,0,0,0,0,44,441003,25.728985,-80.237419
"43","OAKLAND","Y","Oakland",0,0,0,0,0,0,0,0,60000,0,0,77342.5,0,0,0,63066,0,0,0,0,45,419267,37.805065,-122.273024
"44","MINNEAPOLIS","Y","Minneapolis",0,0,0,0,54000,0,0,0,68000,0,0,68500,0,70000,0,0,0,0,0,0,46,410939,44.979035,-93.264929
"45","TULSA","Y","Tulsa",0,0,0,0,0,0,0,0,0,0,0,63470,0,0,0,0,0,0,0,0,47,403505,36.149745,-95.993334
"46","WICHITA","Y","Wichita",0,0,0,0,0,0,0,0,0,0,0,72059.5,0,0,0,0,0,0,0,0,48,389965,37.68698,-97.335579
"47","NEW ORLEANS","Y","New Orleans",0,0,0,0,0,0,0,0,0,0,0,62110,0,0,0,0,0,0,0,0,49,389617,29.9564,-90.0758
"48","ARLINGTON","Y","Arlington",0,0,0,0,0,0,0,0,1e+05,0,0,75000,0,0,0,0,0,0,0,0,50,388125,38.89051,-77.086294
