"","COUNTRY_OF_CITIZENSHIP","state","value"
"194","India","Maryland",566
"195","Mexico","Maryland",21
"196","Pakistan","Maryland",29
"197","Philippines","Maryland",121
"198","South Korea","Maryland",77
"199","UK","Maryland",16
"200","Vietnam","Maryland",25
"201","Brazil","Massachusetts",64
"202","Canada","Massachusetts",96
"203","China","Massachusetts",324
"204","India","Massachusetts",1783
"205","Mexico","Massachusetts",38
"206","Pakistan","Massachusetts",16
"207","Philippines","Massachusetts",9
"208","South Korea","Massachusetts",57
"209","UK","Massachusetts",41
"210","Vietnam","Massachusetts",12
"211","Brazil","Michigan",89
"212","Canada","Michigan",170
"213","China","Michigan",157
"214","India","Michigan",2108
"215","Mexico","Michigan",128
"216","Pakistan","Michigan",34
"217","Philippines","Michigan",11
"218","South Korea","Michigan",108
"219","UK","Michigan",6
"220","Vietnam","Michigan",2
"221","Brazil","Minnesota",7
"222","Canada","Minnesota",37
"223","China","Minnesota",54
"224","India","Minnesota",469
"225","Mexico","Minnesota",73
"226","Pakistan","Minnesota",10
"227","Philippines","Minnesota",22
"228","South Korea","Minnesota",105
"229","UK","Minnesota",5
"230","Vietnam","Minnesota",39
"231","Brazil","Mississippi",1
"232","Canada","Mississippi",7
"233","China","Mississippi",6
"234","India","Mississippi",36
"235","Mexico","Mississippi",5
"236","Pakistan","Mississippi",5
"237","Philippines","Mississippi",2
"238","South Korea","Mississippi",4
"239","UK","Mississippi",2
"240","Vietnam","Mississippi",0
"241","Brazil","Missouri",5
"242","Canada","Missouri",11
"243","China","Missouri",31
"244","India","Missouri",421
"245","Mexico","Missouri",31
"246","Pakistan","Missouri",5
"247","Philippines","Missouri",5
"248","South Korea","Missouri",166
"249","UK","Missouri",2
"250","Vietnam","Missouri",166
"251","Brazil","Montana",2
"252","Canada","Montana",4
"253","China","Montana",5
"254","India","Montana",4
"255","Mexico","Montana",1
"256","Pakistan","Montana",1
"257","Philippines","Montana",3
"258","South Korea","Montana",3
"259","UK","Montana",2
"260","Vietnam","Montana",0
"261","Brazil","Nebraska",4
"262","Canada","Nebraska",9
"263","China","Nebraska",31
"264","India","Nebraska",149
"265","Mexico","Nebraska",26
"266","Pakistan","Nebraska",2
"267","Philippines","Nebraska",7
"268","South Korea","Nebraska",18
"269","UK","Nebraska",3
"270","Vietnam","Nebraska",65
"271","Brazil","Nevada",7
"272","Canada","Nevada",11
"273","China","Nevada",9
"274","India","Nevada",50
"275","Mexico","Nevada",14
"276","Pakistan","Nevada",1
"277","Philippines","Nevada",7
"278","South Korea","Nevada",23
"279","UK","Nevada",6
"280","Vietnam","Nevada",1
"281","Brazil","New Hampshire",1
"282","Canada","New Hampshire",19
"283","China","New Hampshire",13
"284","India","New Hampshire",91
"285","Mexico","New Hampshire",4
"286","Pakistan","New Hampshire",3
"287","Philippines","New Hampshire",2
"288","South Korea","New Hampshire",4
"289","UK","New Hampshire",6
"290","Vietnam","New Hampshire",1
"291","Brazil","New Jersey",48
"292","Canada","New Jersey",74
"293","China","New Jersey",246
"294","India","New Jersey",5618
"295","Mexico","New Jersey",76
"296","Pakistan","New Jersey",53
"297","Philippines","New Jersey",50
"298","South Korea","New Jersey",411
"299","UK","New Jersey",21
"300","Vietnam","New Jersey",21
"301","Brazil","New Mexico",0
"302","Canada","New Mexico",9
"303","China","New Mexico",9
"304","India","New Mexico",50
"305","Mexico","New Mexico",18
"306","Pakistan","New Mexico",3
"307","Philippines","New Mexico",82
"308","South Korea","New Mexico",2
"309","UK","New Mexico",3
"310","Vietnam","New Mexico",0
"311","Brazil","New York",112
"312","Canada","New York",358
"313","China","New York",875
"314","India","New York",2505
"315","Mexico","New York",166
"316","Pakistan","New York",68
"317","Philippines","New York",112
"318","South Korea","New York",574
"319","UK","New York",209
"320","Vietnam","New York",64
"321","Brazil","North Carolina",16
"322","Canada","North Carolina",41
"323","China","North Carolina",220
"324","India","North Carolina",1120
"325","Mexico","North Carolina",34
"326","Pakistan","North Carolina",9
"327","Philippines","North Carolina",21
"328","South Korea","North Carolina",316
"329","UK","North Carolina",18
"330","Vietnam","North Carolina",441
"331","Brazil","North Dakota",5
"332","Canada","North Dakota",10
"333","China","North Dakota",5
"334","India","North Dakota",23
"335","Mexico","North Dakota",1
"336","Pakistan","North Dakota",2
"337","Philippines","North Dakota",8
"338","South Korea","North Dakota",4
"339","UK","North Dakota",2
"340","Vietnam","North Dakota",0
"341","Brazil","Ohio",14
"342","Canada","Ohio",38
"343","China","Ohio",82
"344","India","Ohio",934
"345","Mexico","Ohio",67
"346","Pakistan","Ohio",17
"347","Philippines","Ohio",9
"348","South Korea","Ohio",161
"349","UK","Ohio",13
"350","Vietnam","Ohio",10
"351","Brazil","Oklahoma",1
"352","Canada","Oklahoma",12
"353","China","Oklahoma",12
"354","India","Oklahoma",69
"355","Mexico","Oklahoma",27
"356","Pakistan","Oklahoma",7
"357","Philippines","Oklahoma",5
"358","South Korea","Oklahoma",16
"359","UK","Oklahoma",2
"360","Vietnam","Oklahoma",1
"361","Brazil","Oregon",12
"362","Canada","Oregon",32
"363","China","Oregon",96
"364","India","Oregon",584
"365","Mexico","Oregon",13
"366","Pakistan","Oregon",1
"367","Philippines","Oregon",12
"368","South Korea","Oregon",44
"369","UK","Oregon",13
"370","Vietnam","Oregon",3
"371","Brazil","Pennsylvania",18
"372","Canada","Pennsylvania",58
"373","China","Pennsylvania",135
"374","India","Pennsylvania",1284
"375","Mexico","Pennsylvania",43
"376","Pakistan","Pennsylvania",32
"377","Philippines","Pennsylvania",23
"378","South Korea","Pennsylvania",103
"379","UK","Pennsylvania",28
"380","Vietnam","Pennsylvania",5
"381","Brazil","Rhode Island",3
"382","Canada","Rhode Island",6
"383","China","Rhode Island",5
"384","India","Rhode Island",101
"385","Mexico","Rhode Island",5
"386","Pakistan","Rhode Island",4
"387","Philippines","Rhode Island",3
"388","South Korea","Rhode Island",5
"389","UK","Rhode Island",2
"390","Vietnam","Rhode Island",0
"391","Brazil","South Carolina",6
"392","Canada","South Carolina",11
"393","China","South Carolina",99
"394","India","South Carolina",98
"395","Mexico","South Carolina",13
"396","Pakistan","South Carolina",5
"397","Philippines","South Carolina",7
"398","South Korea","South Carolina",16
"399","UK","South Carolina",4
"400","Vietnam","South Carolina",71
"401","Brazil","South Dakota",0
"402","Canada","South Dakota",4
"403","China","South Dakota",2
"404","India","South Dakota",11
"405","Mexico","South Dakota",28
"406","Pakistan","South Dakota",0
"407","Philippines","South Dakota",5
"408","South Korea","South Dakota",1
"409","UK","South Dakota",0
"410","Vietnam","South Dakota",0
"411","Brazil","Tennessee",12
"412","Canada","Tennessee",19
"413","China","Tennessee",52
"414","India","Tennessee",259
"415","Mexico","Tennessee",27
"416","Pakistan","Tennessee",10
"417","Philippines","Tennessee",1
"418","South Korea","Tennessee",44
"419","UK","Tennessee",4
"420","Vietnam","Tennessee",2
"421","Brazil","Texas",84
"422","Canada","Texas",237
"423","China","Texas",436
"424","India","Texas",9484
"425","Mexico","Texas",546
"426","Pakistan","Texas",299
"427","Philippines","Texas",80
"428","South Korea","Texas",496
"429","UK","Texas",85
"430","Vietnam","Texas",85
