"","WORKSITE_CITY","city","population","dependent","median_wage","lat","lon"
"1","NEW YORK","New York",8550405,"N",89700,40.71455,-74.007124
"2","LOS ANGELES","Los Angeles",3971883,"N",72400,34.05349,-118.245319
"3","CHICAGO","Chicago",2720546,"N",72000,41.88415,-87.632409
"4","HOUSTON","Houston",2296224,"N",77273,29.76045,-95.369784
"5","PHILADELPHIA","Philadelphia",1567442,"N",74006,39.95228,-75.162454
"6","PHOENIX","Phoenix",1563025,"N",74160,33.44826,-112.075774
"7","SAN ANTONIO","San Antonio",1469845,"N",75316.77,29.42449,-98.494619
"8","SAN DIEGO","San Diego",1394928,"N",85000,32.715695,-117.161719
"9","DALLAS","Dallas",1300092,"N",67355,32.778155,-96.795404
"10","SAN JOSE","San Jose",1026908,"N",109762,37.338475,-121.885794
"11","AUSTIN","Austin",931830,"N",81182,30.267605,-97.742984
"12","JACKSONVILLE","Jacksonville",868031,"N",71261,30.33147,-81.656219
"13","SAN FRANCISCO","San Francisco",864816,"N",107054,37.777125,-122.419644
"14","INDIANAPOLIS","Indianapolis",853173,"N",69925,39.76691,-86.149964
"15","COLUMBUS","Columbus",850106,"N",71448,39.96196,-83.002984
"16","FORT WORTH","Fort Worth",833319,"N",70553,32.748855,-97.329389
"17","CHARLOTTE","Charlotte",827097,"N",75000,35.22269,-80.837764
"18","SEATTLE","Seattle",684451,"N",103000,47.60356,-122.329439
"19","DENVER","Denver",682545,"N",75000,39.74001,-104.992259
"20","EL PASO","El Paso",681124,"N",70000,31.759165,-106.487494
"21","DETROIT","Detroit",677116,"N",68000,42.331685,-83.047924
"22","WASHINGTON","Washington",672228,"N",72000,38.89037,-77.031959
"23","BOSTON","Boston",667137,"N",75000,42.358635,-71.056699
"24","MEMPHIS","Memphis",655770,"N",65000,35.149766,-90.049259
"25","PORTLAND","Portland",632309,"N",70000,45.511795,-122.675629
"26","OKLAHOMA CITY","Oklahoma City",631346,"N",65000,35.472015,-97.520354
"27","LAS VEGAS","Las Vegas",623747,"N",75000,36.171915,-115.139974
"28","BALTIMORE","Baltimore",621849,"N",68000,39.290585,-76.609264
"29","MILWAUKEE","Milwaukee",600155,"N",75100,43.04181,-87.906844
"30","ALBUQUERQUE","Albuquerque",559121,"N",72000,35.08418,-106.648639
"31","TUCSON","Tucson",531641,"N",76999,32.221553,-110.969754
"32","FRESNO","Fresno",520052,"N",70000,36.740685,-119.785734
"33","SACRAMENTO","Sacramento",490712,"N",72620,38.579065,-121.491014
"34","KANSAS CITY","Kansas City",475378,"N",70000,39.11338,-94.626824
"35","LONG BEACH","Long Beach",474140,"N",77522,33.766725,-118.192399
"36","MESA","Mesa",471825,"N",90051.5,33.417045,-111.831459
"37","ATLANTA","Atlanta",463878,"N",75000,33.748315,-84.391109
"38","COLORADO SPRINGS","Colorado Springs",456568,"N",81750,38.83345,-104.821814
"39","VIRGINIA BEACH","Virginia Beach",452745,"N",72904,36.75502,-76.059204
"40","RALEIGH","Raleigh",451066,"N",73461,35.78551,-78.642669
"41","OMAHA","Omaha",443885,"N",69430,41.260675,-95.940469
"42","MIAMI","Miami",441003,"N",66560,25.728985,-80.237419
"43","OAKLAND","Oakland",419267,"N",87202,37.805065,-122.273024
"44","MINNEAPOLIS","Minneapolis",410939,"N",75000,44.979035,-93.264929
"45","TULSA","Tulsa",403505,"N",65958.5,36.149745,-95.993334
"46","WICHITA","Wichita",389965,"N",70000,37.68698,-97.335579
"47","NEW ORLEANS","New Orleans",389617,"N",60000,29.9564,-90.0758
"48","ARLINGTON","Arlington",388125,"N",77500.5,38.89051,-77.086294
