"","COUNTRY_OF_CITIZENSHIP","state","value"
"1","Canada","Alabama",15
"2","China","Alabama",25
"3","India","Alabama",79
"4","Japan","Alabama",3
"5","Mexico","Alabama",21
"6","Pakistan","Alabama",5
"7","Philippines","Alabama",16
"8","South Korea","Alabama",93
"9","Taiwan","Alabama",2
"10","UK","Alabama",5
"11","Canada","Alaska",0
"12","China","Alaska",1
"13","India","Alaska",5
"14","Japan","Alaska",1
"15","Mexico","Alaska",2
"16","Pakistan","Alaska",0
"17","Philippines","Alaska",2
"18","South Korea","Alaska",7
"19","Taiwan","Alaska",0
"20","UK","Alaska",1
"21","Canada","Arizona",35
"22","China","Arizona",35
"23","India","Arizona",364
"24","Japan","Arizona",2
"25","Mexico","Arizona",61
"26","Pakistan","Arizona",2
"27","Philippines","Arizona",78
"28","South Korea","Arizona",23
"29","Taiwan","Arizona",7
"30","UK","Arizona",14
"31","Canada","Arkansas",6
"32","China","Arkansas",11
"33","India","Arkansas",143
"34","Japan","Arkansas",1
"35","Mexico","Arkansas",29
"36","Pakistan","Arkansas",5
"37","Philippines","Arkansas",18
"38","South Korea","Arkansas",2
"39","Taiwan","Arkansas",0
"40","UK","Arkansas",0
"41","Canada","California",789
"42","China","California",1090
"43","India","California",7011
"44","Japan","California",305
"45","Mexico","California",417
"46","Pakistan","California",83
"47","Philippines","California",648
"48","South Korea","California",1436
"49","Taiwan","California",415
"50","UK","California",210
"51","Canada","Colorado",38
"52","China","Colorado",30
"53","India","Colorado",257
"54","Japan","Colorado",2
"55","Mexico","Colorado",22
"56","Pakistan","Colorado",6
"57","Philippines","Colorado",13
"58","South Korea","Colorado",20
"59","Taiwan","Colorado",6
"60","UK","Colorado",18
"61","Canada","Connecticut",30
"62","China","Connecticut",51
"63","India","Connecticut",371
"64","Japan","Connecticut",4
"65","Mexico","Connecticut",17
"66","Pakistan","Connecticut",6
"67","Philippines","Connecticut",6
"68","South Korea","Connecticut",21
"69","Taiwan","Connecticut",6
"70","UK","Connecticut",22
"71","Canada","Delaware",4
"72","China","Delaware",22
"73","India","Delaware",320
"74","Japan","Delaware",0
"75","Mexico","Delaware",0
"76","Pakistan","Delaware",9
"77","Philippines","Delaware",2
"78","South Korea","Delaware",4
"79","Taiwan","Delaware",1
"80","UK","Delaware",4
"81","Canada","Florida",96
"82","China","Florida",70
"83","India","Florida",758
"84","Japan","Florida",8
"85","Mexico","Florida",74
"86","Pakistan","Florida",23
"87","Philippines","Florida",82
"88","South Korea","Florida",37
"89","Taiwan","Florida",21
"90","UK","Florida",51
"91","Canada","Georgia",60
"92","China","Georgia",94
"93","India","Georgia",1094
"94","Japan","Georgia",16
"95","Mexico","Georgia",42
"96","Pakistan","Georgia",29
"97","Philippines","Georgia",49
"98","South Korea","Georgia",195
"99","Taiwan","Georgia",15
"100","UK","Georgia",25
"101","Canada","Hawaii",8
"102","China","Hawaii",4
"103","India","Hawaii",8
"104","Japan","Hawaii",10
"105","Mexico","Hawaii",1
"106","Pakistan","Hawaii",0
"107","Philippines","Hawaii",3
"108","South Korea","Hawaii",11
"109","Taiwan","Hawaii",3
"110","UK","Hawaii",2
"111","Canada","Idaho",8
"112","China","Idaho",8
"113","India","Idaho",54
"114","Japan","Idaho",1
"115","Mexico","Idaho",13
"116","Pakistan","Idaho",2
"117","Philippines","Idaho",5
"118","South Korea","Idaho",4
"119","Taiwan","Idaho",0
"120","UK","Idaho",2
"121","Canada","Illinois",121
"122","China","Illinois",178
"123","India","Illinois",1834
"124","Japan","Illinois",29
"125","Mexico","Illinois",55
"126","Pakistan","Illinois",45
"127","Philippines","Illinois",110
"128","South Korea","Illinois",134
"129","Taiwan","Illinois",25
"130","UK","Illinois",32
"131","Canada","Indiana",26
"132","China","Indiana",40
"133","India","Indiana",280
"134","Japan","Indiana",6
"135","Mexico","Indiana",14
"136","Pakistan","Indiana",9
"137","Philippines","Indiana",8
"138","South Korea","Indiana",16
"139","Taiwan","Indiana",11
"140","UK","Indiana",7
"141","Canada","Iowa",15
"142","China","Iowa",24
"143","India","Iowa",160
"144","Japan","Iowa",1
"145","Mexico","Iowa",5
"146","Pakistan","Iowa",5
"147","Philippines","Iowa",11
"148","South Korea","Iowa",6
"149","Taiwan","Iowa",3
"150","UK","Iowa",2
"151","Canada","Kansas",11
"152","China","Kansas",17
"153","India","Kansas",190
"154","Japan","Kansas",1
"155","Mexico","Kansas",13
"156","Pakistan","Kansas",2
"157","Philippines","Kansas",37
"158","South Korea","Kansas",15
"159","Taiwan","Kansas",4
"160","UK","Kansas",6
"161","Canada","Kentucky",10
"162","China","Kentucky",14
"163","India","Kentucky",177
"164","Japan","Kentucky",12
"165","Mexico","Kentucky",6
"166","Pakistan","Kentucky",10
"167","Philippines","Kentucky",24
"168","South Korea","Kentucky",10
"169","Taiwan","Kentucky",2
"170","UK","Kentucky",4
"171","Canada","Louisiana",7
"172","China","Louisiana",15
"173","India","Louisiana",107
