"","COUNTRY_OF_CITIZENSHIP","state","value"
"1","Canada","Alabama",18
"2","China","Alabama",9
"3","India","Alabama",91
"4","Japan","Alabama",2
"5","Mexico","Alabama",7
"6","Pakistan","Alabama",10
"7","Philippines","Alabama",25
"8","South Korea","Alabama",85
"9","Taiwan","Alabama",0
"10","UK","Alabama",3
"11","Canada","Alaska",4
"12","China","Alaska",0
"13","India","Alaska",3
"14","Japan","Alaska",2
"15","Mexico","Alaska",5
"16","Pakistan","Alaska",0
"17","Philippines","Alaska",0
"18","South Korea","Alaska",6
"19","Taiwan","Alaska",0
"20","UK","Alaska",0
"21","Canada","Arizona",49
"22","China","Arizona",37
"23","India","Arizona",321
"24","Japan","Arizona",7
"25","Mexico","Arizona",172
"26","Pakistan","Arizona",4
"27","Philippines","Arizona",60
"28","South Korea","Arizona",39
"29","Taiwan","Arizona",7
"30","UK","Arizona",8
"31","Canada","Arkansas",8
"32","China","Arkansas",4
"33","India","Arkansas",88
"34","Japan","Arkansas",0
"35","Mexico","Arkansas",35
"36","Pakistan","Arkansas",5
"37","Philippines","Arkansas",11
"38","South Korea","Arkansas",12
"39","Taiwan","Arkansas",0
"40","UK","Arkansas",1
"41","Canada","California",789
"42","China","California",935
"43","India","California",6374
"44","Japan","California",401
"45","Mexico","California",790
"46","Pakistan","California",110
"47","Philippines","California",892
"48","South Korea","California",1522
"49","Taiwan","California",453
"50","UK","California",213
"51","Canada","Colorado",30
"52","China","Colorado",21
"53","India","Colorado",239
"54","Japan","Colorado",9
"55","Mexico","Colorado",105
"56","Pakistan","Colorado",6
"57","Philippines","Colorado",12
"58","South Korea","Colorado",18
"59","Taiwan","Colorado",5
"60","UK","Colorado",11
"61","Canada","Connecticut",31
"62","China","Connecticut",55
"63","India","Connecticut",453
"64","Japan","Connecticut",4
"65","Mexico","Connecticut",43
"66","Pakistan","Connecticut",12
"67","Philippines","Connecticut",9
"68","South Korea","Connecticut",39
"69","Taiwan","Connecticut",11
"70","UK","Connecticut",15
"71","Canada","Delaware",10
"72","China","Delaware",15
"73","India","Delaware",279
"74","Japan","Delaware",0
"75","Mexico","Delaware",15
"76","Pakistan","Delaware",3
"77","Philippines","Delaware",3
"78","South Korea","Delaware",1
"79","Taiwan","Delaware",2
"80","UK","Delaware",3
"81","Canada","Florida",128
"82","China","Florida",52
"83","India","Florida",804
"84","Japan","Florida",15
"85","Mexico","Florida",106
"86","Pakistan","Florida",39
"87","Philippines","Florida",115
"88","South Korea","Florida",49
"89","Taiwan","Florida",22
"90","UK","Florida",69
"91","Canada","Georgia",59
"92","China","Georgia",71
"93","India","Georgia",992
"94","Japan","Georgia",14
"95","Mexico","Georgia",59
"96","Pakistan","Georgia",26
"97","Philippines","Georgia",40
"98","South Korea","Georgia",240
"99","Taiwan","Georgia",14
"100","UK","Georgia",29
"101","Canada","Hawaii",5
"102","China","Hawaii",5
"103","India","Hawaii",8
"104","Japan","Hawaii",32
"105","Mexico","Hawaii",1
"106","Pakistan","Hawaii",1
"107","Philippines","Hawaii",5
"108","South Korea","Hawaii",9
"109","Taiwan","Hawaii",5
"110","UK","Hawaii",2
"111","Canada","Idaho",3
"112","China","Idaho",4
"113","India","Idaho",38
"114","Japan","Idaho",1
"115","Mexico","Idaho",11
"116","Pakistan","Idaho",0
"117","Philippines","Idaho",2
"118","South Korea","Idaho",4
"119","Taiwan","Idaho",1
"120","UK","Idaho",0
"121","Canada","Illinois",91
"122","China","Illinois",167
"123","India","Illinois",1899
"124","Japan","Illinois",44
"125","Mexico","Illinois",90
"126","Pakistan","Illinois",73
"127","Philippines","Illinois",74
"128","South Korea","Illinois",133
"129","Taiwan","Illinois",23
"130","UK","Illinois",29
"131","Canada","Indiana",25
"132","China","Indiana",36
"133","India","Indiana",221
"134","Japan","Indiana",9
"135","Mexico","Indiana",17
"136","Pakistan","Indiana",7
"137","Philippines","Indiana",15
"138","South Korea","Indiana",17
"139","Taiwan","Indiana",7
"140","UK","Indiana",12
"141","Canada","Iowa",9
"142","China","Iowa",24
"143","India","Iowa",123
"144","Japan","Iowa",6
"145","Mexico","Iowa",4
"146","Pakistan","Iowa",6
"147","Philippines","Iowa",14
"148","South Korea","Iowa",7
"149","Taiwan","Iowa",0
"150","UK","Iowa",2
"151","Canada","Kansas",25
"152","China","Kansas",24
"153","India","Kansas",254
"154","Japan","Kansas",4
"155","Mexico","Kansas",49
"156","Pakistan","Kansas",8
"157","Philippines","Kansas",28
"158","South Korea","Kansas",18
"159","Taiwan","Kansas",3
"160","UK","Kansas",7
"161","Canada","Kentucky",11
"162","China","Kentucky",18
"163","India","Kentucky",140
"164","Japan","Kentucky",10
"165","Mexico","Kentucky",8
"166","Pakistan","Kentucky",9
"167","Philippines","Kentucky",16
"168","South Korea","Kentucky",18
"169","Taiwan","Kentucky",1
"170","UK","Kentucky",2
"171","Canada","Louisiana",8
"172","China","Louisiana",15
"173","India","Louisiana",72
"174","Japan","Louisiana",0
"175","Mexico","Louisiana",35
"176","Pakistan","Louisiana",9
"177","Philippines","Louisiana",2
"178","South Korea","Louisiana",9
