"","COUNTRY_OF_CITIZENSHIP","state","value"
"1","Canada","Alabama",9
"2","China","Alabama",33
"3","India","Alabama",60
"4","Japan","Alabama",0
"5","Mexico","Alabama",3
"6","Pakistan","Alabama",5
"7","Philippines","Alabama",5
"8","South Korea","Alabama",131
"9","Taiwan","Alabama",1
"10","UK","Alabama",6
"11","Canada","Alaska",1
"12","China","Alaska",0
"13","India","Alaska",1
"14","Japan","Alaska",3
"15","Mexico","Alaska",3
"16","Pakistan","Alaska",0
"17","Philippines","Alaska",0
"18","South Korea","Alaska",2
"19","Taiwan","Alaska",0
"20","UK","Alaska",0
"21","Canada","Arizona",27
"22","China","Arizona",26
"23","India","Arizona",328
"24","Japan","Arizona",4
"25","Mexico","Arizona",29
"26","Pakistan","Arizona",4
"27","Philippines","Arizona",58
"28","South Korea","Arizona",11
"29","Taiwan","Arizona",8
"30","UK","Arizona",7
"31","Canada","Arkansas",1
"32","China","Arkansas",3
"33","India","Arkansas",89
"34","Japan","Arkansas",2
"35","Mexico","Arkansas",26
"36","Pakistan","Arkansas",2
"37","Philippines","Arkansas",3
"38","South Korea","Arkansas",5
"39","Taiwan","Arkansas",1
"40","UK","Arkansas",4
"41","Canada","California",530
"42","China","California",863
"43","India","California",5160
"44","Japan","California",179
"45","Mexico","California",258
"46","Pakistan","California",53
"47","Philippines","California",400
"48","South Korea","California",782
"49","Taiwan","California",231
"50","UK","California",173
"51","Canada","Colorado",23
"52","China","Colorado",17
"53","India","Colorado",170
"54","Japan","Colorado",1
"55","Mexico","Colorado",13
"56","Pakistan","Colorado",2
"57","Philippines","Colorado",7
"58","South Korea","Colorado",5
"59","Taiwan","Colorado",1
"60","UK","Colorado",9
"61","Canada","Connecticut",12
"62","China","Connecticut",32
"63","India","Connecticut",270
"64","Japan","Connecticut",1
"65","Mexico","Connecticut",10
"66","Pakistan","Connecticut",3
"67","Philippines","Connecticut",7
"68","South Korea","Connecticut",12
"69","Taiwan","Connecticut",1
"70","UK","Connecticut",10
"71","Canada","Delaware",1
"72","China","Delaware",12
"73","India","Delaware",184
"74","Japan","Delaware",1
"75","Mexico","Delaware",1
"76","Pakistan","Delaware",2
"77","Philippines","Delaware",1
"78","South Korea","Delaware",0
"79","Taiwan","Delaware",0
"80","UK","Delaware",3
"81","Canada","Florida",64
"82","China","Florida",44
"83","India","Florida",633
"84","Japan","Florida",5
"85","Mexico","Florida",47
"86","Pakistan","Florida",17
"87","Philippines","Florida",50
"88","South Korea","Florida",24
"89","Taiwan","Florida",7
"90","UK","Florida",30
"91","Canada","Georgia",34
"92","China","Georgia",52
"93","India","Georgia",982
"94","Japan","Georgia",4
"95","Mexico","Georgia",27
"96","Pakistan","Georgia",14
"97","Philippines","Georgia",21
"98","South Korea","Georgia",98
"99","Taiwan","Georgia",8
"100","UK","Georgia",15
"101","Canada","Hawaii",0
"102","China","Hawaii",2
"103","India","Hawaii",9
"104","Japan","Hawaii",5
"105","Mexico","Hawaii",1
"106","Pakistan","Hawaii",0
"107","Philippines","Hawaii",2
"108","South Korea","Hawaii",7
"109","Taiwan","Hawaii",0
"110","UK","Hawaii",0
"111","Canada","Idaho",2
"112","China","Idaho",8
"113","India","Idaho",40
"114","Japan","Idaho",0
"115","Mexico","Idaho",1
"116","Pakistan","Idaho",2
"117","Philippines","Idaho",0
"118","South Korea","Idaho",5
"119","Taiwan","Idaho",1
"120","UK","Idaho",1
"121","Canada","Illinois",52
"122","China","Illinois",98
"123","India","Illinois",1338
"124","Japan","Illinois",11
"125","Mexico","Illinois",48
"126","Pakistan","Illinois",29
"127","Philippines","Illinois",59
"128","South Korea","Illinois",55
"129","Taiwan","Illinois",14
"130","UK","Illinois",19
"131","Canada","Indiana",19
"132","China","Indiana",20
"133","India","Indiana",176
"134","Japan","Indiana",1
"135","Mexico","Indiana",12
"136","Pakistan","Indiana",5
"137","Philippines","Indiana",6
"138","South Korea","Indiana",9
"139","Taiwan","Indiana",3
"140","UK","Indiana",4
"141","Canada","Iowa",13
"142","China","Iowa",17
"143","India","Iowa",82
"144","Japan","Iowa",1
"145","Mexico","Iowa",5
"146","Pakistan","Iowa",6
"147","Philippines","Iowa",12
"148","South Korea","Iowa",4
"149","Taiwan","Iowa",1
"150","UK","Iowa",3
"151","Canada","Kansas",3
"152","China","Kansas",7
"153","India","Kansas",143
"154","Japan","Kansas",2
"155","Mexico","Kansas",8
"156","Pakistan","Kansas",2
"157","Philippines","Kansas",20
"158","South Korea","Kansas",7
"159","Taiwan","Kansas",0
"160","UK","Kansas",2
"161","Canada","Kentucky",9
"162","China","Kentucky",5
"163","India","Kentucky",130
"164","Japan","Kentucky",5
"165","Mexico","Kentucky",1
"166","Pakistan","Kentucky",2
"167","Philippines","Kentucky",9
"168","South Korea","Kentucky",5
"169","Taiwan","Kentucky",1
"170","UK","Kentucky",3
"171","Canada","Louisiana",6
"172","China","Louisiana",12
"173","India","Louisiana",57
"174","Japan","Louisiana",0
"175","Mexico","Louisiana",15
"176","Pakistan","Louisiana",2
"177","Philippines","Louisiana",24
"178","South Korea","Louisiana",5
"179","Taiwan","Louisiana",0
"180","UK","Louisiana",0
"181","Canada","Maine",4
"182","China","Maine",2
"183","India","Maine",25
"184","Japan","Maine",1
"185","Mexico","Maine",1
"186","Pakistan","Maine",0
"187","Philippines","Maine",3
"188","South Korea","Maine",0
"189","Taiwan","Maine",1
"190","UK","Maine",0
"191","Canada","Maryland",22
"192","China","Maryland",51
"193","India","Maryland",434
"194","Japan","Maryland",3
"195","Mexico","Maryland",23
"196","Pakistan","Maryland",16
"197","Philippines","Maryland",57
"198","South Korea","Maryland",42
"199","Taiwan","Maryland",7
"200","UK","Maryland",12
"201","Canada","Massachusetts",75
"202","China","Massachusetts",115
"203","India","Massachusetts",1056
"204","Japan","Massachusetts",11
"205","Mexico","Massachusetts",13
"206","Pakistan","Massachusetts",17
"207","Philippines","Massachusetts",12
"208","South Korea","Massachusetts",28
"209","Taiwan","Massachusetts",12
"210","UK","Massachusetts",36
"211","Canada","Michigan",91
"212","China","Michigan",38
"213","India","Michigan",1296
"214","Japan","Michigan",15
"215","Mexico","Michigan",14
"216","Pakistan","Michigan",18
"217","Philippines","Michigan",7
"218","South Korea","Michigan",24
"219","Taiwan","Michigan",4
"220","UK","Michigan",8
"221","Canada","Minnesota",23
"222","China","Minnesota",24
"223","India","Minnesota",201
"224","Japan","Minnesota",4
"225","Mexico","Minnesota",10
"226","Pakistan","Minnesota",10
"227","Philippines","Minnesota",9
"228","South Korea","Minnesota",5
"229","Taiwan","Minnesota",2
"230","UK","Minnesota",9
"231","Canada","Mississippi",3
"232","China","Mississippi",7
"233","India","Mississippi",40
"234","Japan","Mississippi",0
"235","Mexico","Mississippi",5
"236","Pakistan","Mississippi",1
"237","Philippines","Mississippi",1
"238","South Korea","Mississippi",7
"239","Taiwan","Mississippi",1
"240","UK","Mississippi",1
"241","Canada","Missouri",10
"242","China","Missouri",13
